Filename,Expected,Result,Correct,Time,resolution_steps,decisions,unit_props,backtracks,pure_literals
test1.cnf,UNSAT,SAT,False,0.316328,96481,0,0,0,0
test10.cnf,UNSAT,SAT,False,0.000000,136,0,0,0,0
